id,age_at_entry,income_level,health_score,pension_contrib_rate,true_event_time,censor_time,time_to_event,event_observed,method
1,53,36794.48,78.4,0.052,8.653,7.657,7.657,0,zero
2,39,45557.62,62.0,0.072,32.314,11.618,11.618,0,zero
3,32,35686.13,52.1,0.048,19.388,25.0,19.388,1,zero
4,45,70045.55,75.5,0.08,34.158,25.0,25.0,0,zero
5,43,49361.51,86.3,0.054,15.37,25.0,15.37,1,zero
6,47,41008.7,61.4,0.033,19.356,25.0,19.356,1,zero
7,35,43750.75,54.3,0.103,17.974,20.548,17.974,1,zero
8,35,44885.26,74.5,0.042,10.041,25.0,10.041,1,zero
9,48,45240.92,60.8,0.063,34.133,25.0,25.0,0,zero
10,48,37120.02,75.4,0.073,10.855,25.0,10.855,1,zero
11,27,35268.07,81.5,0.069,14.753,25.0,14.753,1,zero
12,46,38177.76,73.3,0.095,10.963,25.0,10.963,1,zero
13,26,26323.7,78.1,0.084,5.572,18.259,5.572,1,zero
14,48,48619.29,78.2,0.057,21.477,10.344,10.344,0,zero
15,54,30379.54,79.9,0.035,7.794,25.0,7.794,1,zero
16,26,27280.6,70.5,0.099,24.427,16.372,16.372,0,zero
17,45,39827.75,77.8,0.062,13.37,25.0,13.37,1,zero
18,57,38438.53,71.6,0.11,10.448,11.505,10.448,1,zero
19,36,42995.61,73.9,0.066,22.979,6.749,6.749,0,zero
20,46,33181.54,100.0,0.095,25.007,20.795,20.795,0,zero
21,49,35289.49,72.4,0.115,7.008,25.0,7.008,1,zero
22,51,48305.43,55.0,0.089,30.291,16.476,16.476,0,zero
23,52,47574.61,68.0,0.067,17.543,25.0,17.543,1,zero
24,40,47074.3,66.9,0.081,1.148,25.0,1.148,1,zero
25,39,40407.61,67.4,0.079,13.351,5.285,5.285,0,zero
26,27,42027.07,79.5,0.083,19.053,16.237,16.237,0,zero
27,31,42765.27,81.3,0.043,35.998,5.646,5.646,0,zero
28,45,32127.5,68.9,0.093,8.578,12.143,8.578,1,zero
29,33,57688.56,56.1,0.043,15.474,8.211,8.211,0,zero
30,42,55979.06,71.0,0.031,6.072,24.09,6.072,1,zero
31,28,49530.95,64.6,0.086,13.277,24.556,13.277,1,zero
32,49,34889.66,72.1,0.041,19.254,18.837,18.837,0,zero
33,38,46469.73,68.8,0.099,20.497,25.0,20.497,1,zero
34,33,51740.44,82.2,0.108,6.798,25.0,6.798,1,zero
35,50,25321.64,72.7,0.115,3.887,24.808,3.887,1,zero
36,26,60334.14,64.6,0.09,19.406,25.0,19.406,1,zero
37,44,19127.35,56.1,0.073,13.641,10.386,10.386,0,zero
38,52,48455.27,69.5,0.062,25.581,5.974,5.974,0,zero
39,31,57439.39,69.6,0.074,2.72,25.0,2.72,1,zero
40,32,38643.24,67.4,0.047,13.049,15.895,13.049,1,zero
41,59,38194.43,77.8,0.061,11.164,14.928,11.164,1,zero
42,38,48011.93,56.2,0.095,30.38,24.936,24.936,0,zero
43,41,62222.58,62.4,0.05,20.938,25.0,20.938,1,zero
44,28,36627.19,70.5,0.054,11.991,16.154,11.991,1,zero
45,26,30628.54,64.4,0.097,12.519,25.0,12.519,1,zero
46,30,34914.69,66.4,0.046,15.443,25.0,15.443,1,zero
47,28,21369.83,69.4,0.052,19.059,24.252,19.059,1,zero
48,53,50773.09,76.9,0.032,3.707,24.008,3.707,1,zero
49,42,33831.0,69.0,0.095,10.863,5.528,5.528,0,zero
50,50,37499.93,50.3,0.086,13.015,5.648,5.648,0,zero
51,58,50915.45,64.0,0.092,8.481,9.151,8.481,1,zero
52,34,35477.08,75.0,0.049,20.329,7.755,7.755,0,zero
53,38,49109.08,77.6,0.092,14.964,7.64,7.64,0,zero
54,55,27542.94,78.2,0.084,16.413,15.13,15.13,0,zero
55,39,51504.63,81.0,0.063,5.649,20.14,5.649,1,zero
56,32,44102.86,71.2,0.069,39.008,23.419,23.419,0,zero
57,38,38937.05,72.6,0.081,7.771,25.0,7.771,1,zero
58,47,41570.72,59.9,0.074,6.004,6.949,6.004,1,zero
59,45,24558.86,48.3,0.088,15.458,25.0,15.458,1,zero
60,40,41296.01,55.8,0.046,26.569,25.0,25.0,0,zero
61,42,38299.96,63.0,0.079,4.591,10.608,4.591,1,zero
62,48,24886.81,56.4,0.071,19.322,9.729,9.729,0,zero
63,50,31947.09,67.1,0.071,7.558,23.804,7.558,1,zero
64,49,38449.06,65.4,0.072,15.343,25.0,15.343,1,zero
65,53,32712.49,79.4,0.109,3.326,25.0,3.326,1,zero
66,39,15000.0,60.3,0.104,7.591,18.716,7.591,1,zero
67,25,52916.65,71.4,0.087,21.648,25.0,21.648,1,zero
68,49,38294.92,65.8,0.094,14.291,25.0,14.291,1,zero
69,31,15000.0,59.9,0.034,12.53,21.521,12.53,1,zero
70,33,65619.56,62.7,0.097,21.244,25.0,21.244,1,zero
71,48,54896.71,49.5,0.074,33.073,25.0,25.0,0,zero
72,25,35812.22,77.5,0.059,10.364,7.569,7.569,0,zero
73,32,29890.03,84.0,0.043,8.545,25.0,8.545,1,zero
74,48,44838.29,67.3,0.037,21.675,20.488,20.488,0,zero
75,35,42427.92,70.3,0.034,5.614,25.0,5.614,1,zero
76,41,46505.08,67.0,0.045,16.99,16.277,16.277,0,zero
77,32,29924.56,61.8,0.033,14.762,25.0,14.762,1,zero
78,59,53173.26,77.0,0.096,10.386,25.0,10.386,1,zero
79,59,34318.45,73.2,0.052,24.572,25.0,24.572,1,zero
80,57,48169.19,40.9,0.063,6.941,25.0,6.941,1,zero
81,29,30436.73,59.7,0.104,9.126,21.995,9.126,1,zero
82,52,71777.73,49.5,0.04,10.773,18.734,10.773,1,zero
83,31,48346.28,85.6,0.105,9.764,19.068,9.764,1,zero
84,33,74610.79,68.3,0.088,22.008,22.442,22.008,1,zero
85,32,49931.22,72.4,0.061,28.37,18.408,18.408,0,zero
86,36,33262.43,66.5,0.041,22.451,25.0,22.451,1,zero
87,58,49952.57,81.0,0.038,27.138,25.0,25.0,0,zero
88,57,50806.93,78.6,0.06,8.43,10.547,8.43,1,zero
89,47,44479.89,67.8,0.043,3.043,25.0,3.043,1,zero
90,48,47564.71,87.2,0.054,48.443,25.0,25.0,0,zero
91,59,49140.73,71.9,0.035,1.727,25.0,1.727,1,zero
92,46,28075.83,55.4,0.084,23.818,25.0,23.818,1,zero
93,51,27221.7,71.0,0.043,19.743,21.29,19.743,1,zero
94,59,30469.4,75.2,0.098,20.515,25.0,20.515,1,zero
95,25,41530.51,68.7,0.05,17.094,10.464,10.464,0,zero
96,59,37321.95,65.9,0.102,5.409,25.0,5.409,1,zero
97,38,28293.15,87.6,0.047,20.043,25.0,20.043,1,zero
98,27,49303.77,58.1,0.095,26.94,1.773,1.773,0,zero
99,25,43396.54,42.4,0.06,6.608,25.0,6.608,1,zero
100,29,42027.15,86.2,0.082,34.905,25.0,25.0,0,zero
101,50,36904.13,57.7,0.033,6.733,25.0,6.733,1,zero
102,38,35461.26,67.1,0.075,14.398,4.645,4.645,0,zero
103,51,29904.03,66.2,0.043,20.647,25.0,20.647,1,zero
104,33,51204.88,82.3,0.074,12.117,25.0,12.117,1,zero
105,39,31558.09,84.3,0.043,10.309,15.891,10.309,1,zero
106,39,42512.69,57.1,0.069,3.915,25.0,3.915,1,zero
107,50,59944.12,83.6,0.04,9.794,25.0,9.794,1,zero
108,37,36012.91,83.4,0.05,8.133,25.0,8.133,1,zero
109,56,51528.43,70.2,0.084,7.729,21.649,7.729,1,zero
110,56,46824.51,79.3,0.118,9.169,25.0,9.169,1,zero
111,28,43737.61,80.3,0.07,36.202,25.0,25.0,0,zero
112,54,45164.18,67.5,0.092,26.096,25.0,25.0,0,zero
113,47,38861.12,68.4,0.079,11.51,3.39,3.39,0,zero
114,39,40417.31,75.9,0.075,6.869,0.968,0.968,0,zero
115,53,33422.63,53.7,0.036,6.105,6.101,6.101,0,zero
116,37,40497.49,66.5,0.043,24.303,25.0,24.303,1,zero
117,56,32977.29,58.0,0.109,11.992,20.939,11.992,1,zero
118,31,52067.86,84.2,0.067,60.781,18.531,18.531,0,zero
119,46,19606.03,66.3,0.085,1.16,25.0,1.16,1,zero
120,52,45772.64,72.8,0.078,21.367,13.979,13.979,0,zero
121,26,44039.04,67.8,0.064,20.619,25.0,20.619,1,zero
122,30,42952.19,67.2,0.065,36.819,6.882,6.882,0,zero
123,52,52293.99,72.1,0.08,17.827,25.0,17.827,1,zero
124,52,36566.52,62.7,0.043,11.23,17.654,11.23,1,zero
125,44,43065.21,68.0,0.065,19.835,21.21,19.835,1,zero
126,54,19401.5,67.9,0.07,15.554,13.41,13.41,0,zero
127,35,35016.2,65.8,0.119,9.097,25.0,9.097,1,zero
128,52,50268.84,73.9,0.062,5.943,5.076,5.076,0,zero
129,49,23930.06,65.5,0.088,8.921,18.419,8.921,1,zero
130,57,41916.92,86.1,0.042,8.677,25.0,8.677,1,zero
131,25,31869.8,76.3,0.036,17.696,14.843,14.843,0,zero
132,51,38668.16,56.5,0.108,30.718,25.0,25.0,0,zero
133,37,32587.87,75.5,0.096,16.601,25.0,16.601,1,zero
134,27,25033.65,63.1,0.059,19.643,11.888,11.888,0,zero
135,30,44632.04,71.4,0.075,25.831,25.0,25.0,0,zero
136,32,39404.84,62.7,0.042,28.628,25.0,25.0,0,zero
137,51,47351.55,48.1,0.094,25.207,21.007,21.007,0,zero
138,33,49533.25,69.8,0.036,27.482,9.295,9.295,0,zero
139,57,54703.1,55.7,0.098,11.983,25.0,11.983,1,zero
